Date;Open;High;Low;Close;Adj Close;Volume;vol2
19/03/2019;50.700.001;52.389.999;50.590.000;51.900.002;50.560.246;32034400;32,0344
20/03/2019;51.450.001;51.680.000;50.400.002;50.560.001;49.254.837;25667000;25,667
21/03/2019;50.529.999;51.470.001;50.509.998;50.889.999;49.576.317;19660000;19,66
22/03/2019;50.470.001;51.330.002;49.700.001;50.049.999;48.757.999;25714700;25,7147
25/03/2019;49.599.998;50.310.001;49.160.000;49.549.999;48.270.908;15897500;15,8975
26/03/2019;49.810.001;50.700.001;49.799.999;50.279.999;48.982.063;13413800;13,4138
27/03/2019;50.049.999;50.740.002;49.310.001;49.599.998;48.319.614;20805100;20,8051
28/03/2019;50.509.998;50.599.998;48.619.999;49.299.999;48.027.359;28490000;28,49
29/03/2019;49.950.001;51.599.998;49.950.001;50.930.000;49.615.284;25118100;25,1181
01/04/2019;52.349.998;53.049.999;52.099.998;52.599.998;51.242.172;25392200;25,3922
02/04/2019;53.049.999;53.299.999;51.630.001;51.630.001;50.297.215;21442400;21,4424
03/04/2019;52.779.999;52.830.002;51.610.001;51.779.999;50.443.340;21477200;21,4772
04/04/2019;52.000.000;52.459.999;51.619.999;52.160.000;50.813.534;14145700;14,1457
05/04/2019;52.200.001;52.360.001;51.700.001;51.980.000;50.638.180;8359200;8,3592
08/04/2019;52.500.000;53.389.999;52.360.001;53.389.999;52.011.780;14400900;14,4009
09/04/2019;53.180.000;53.299.999;52.299.999;52.349.998;50.998.627;14745400;14,7454
10/04/2019;52.740.002;52.740.002;51.520.000;51.759.998;50.423.855;15608000;15,608
11/04/2019;51.500.000;51.860.001;50.930.000;51.790.001;50.453.083;10274300;10,2743
12/04/2019;52.090.000;52.720.001;51.310.001;51.480.000;50.151.085;16905900;16,9059
15/04/2019;51.590.000;51.720.001;50.779.999;51.330.002;50.004.959;15787300;15,7873
16/04/2019;51.270.000;53.160.000;50.840.000;53.099.998;51.729.267;18935600;18,9356
17/04/2019;53.160.000;53.799.999;51.700.001;52.250.000;50.901.211;26483700;26,4837
18/04/2019;52.200.001;52.970.001;52.009.998;52.580.002;51.222.691;10706000;10,706
22/04/2019;51.950.001;52.000.000;50.799.999;51.299.999;49.975.731;16324700;16,3247
23/04/2019;51.590.000;51.919.998;51.279.999;51.919.998;50.579.727;9890800;9,8908
24/04/2019;51.549.999;51.740.002;50.160.000;50.360.001;49.059.998;19992800;19,9928
25/04/2019;50.230.000;50.430.000;49.380.001;50.330.002;49.030.773;15916200;15,9162
26/04/2019;50.480.000;50.650.002;49.520.000;50.419.998;49.118.446;10632700;10,6327
29/04/2019;50.939.999;51.060.001;50.119.999;50.250.000;48.952.839;8729200;8,7292
30/04/2019;50.220.001;50.689.999;49.759.998;50.099.998;48.806.709;11371400;11,3714
02/05/2019;49.279.999;49.279.999;48.720.001;48.939.999;47.676.651;15906200;15,9062
03/05/2019;49.450.001;50.630.001;49.389.999;50.400.002;49.098.969;10614000;10,614
06/05/2019;49.599.998;49.750.000;49.090.000;49.660.000;48.378.067;10437300;10,4373
07/05/2019;49.349.998;49.700.001;48.720.001;49.700.001;48.417.038;15190600;15,1906
08/05/2019;49.820.000;50.139.999;48.939.999;49.000.000;47.735.104;18474900;18,4749
09/05/2019;49.000.000;49.009.998;48.049.999;48.540.001;47.286.980;12456600;12,4566
10/05/2019;48.299.999;49.799.999;48.060.001;49.459.999;48.183.231;25272300;25,2723
13/05/2019;48.529.999;48.750.000;47.430.000;47.430.000;46.205.635;18657700;18,6577
14/05/2019;48.180.000;48.349.998;47.349.998;47.590.000;46.361.504;14183900;14,1839
15/05/2019;47.150.002;48.450.001;47.020.000;47.950.001;46.712.212;18447400;18,4474
16/05/2019;48.549.999;48.930.000;45.820.000;46.400.002;45.202.225;49247900;49,2479
17/05/2019;46.400.002;47.720.001;46.299.999;47.720.001;46.488.148;34079700;34,0797
20/05/2019;47.619.999;47.740.002;46.630.001;46.750.000;45.543.186;23909600;23,9096
21/05/2019;47.099.998;47.959.999;46.090.000;47.410.000;46.186.150;32381300;32,3813
22/05/2019;47.779.999;48.689.999;47.369.999;47.459.999;46.234.859;21087400;21,0874
23/05/2019;47.070.000;47.900.002;46.419.998;47.820.000;46.585.567;15786300;15,7863
24/05/2019;48.639.999;49.430.000;48.310.001;48.310.001;47.062.920;24936500;24,9365
27/05/2019;49.000.000;50.250.000;48.900.002;50.189.999;48.894.386;17281600;17,2816
28/05/2019;49.950.001;50.950.001;49.849.998;50.250.000;48.952.839;37041000;37,041
