Date,Open,High,Low,Close,Adj Close,Volume,Vol2
15/02/2019,37.68,37.83,37.18,37.50,35.43,26851200,26.85
18/02/2019,37.34,37.50,36.90,36.90,34.86,17601800,17.60
19/02/2019,37.29,38.00,37.18,37.75,35.66,22551400,22.55
20/02/2019,38.02,38.38,37.27,37.27,35.21,28751200,28.75
21/02/2019,37.65,37.95,37.25,37.95,35.85,25310600,25.31
22/02/2019,36.52,36.66,36.23,36.66,35.33,17459100,17.46
25/02/2019,36.75,36.88,36.08,36.09,34.79,12453300,12.45
26/02/2019,36.18,36.41,36.09,36.23,34.92,8053100,8.05
27/02/2019,36.22,36.36,35.91,35.91,34.61,10132700,10.13
28/02/2019,35.93,36.02,35.16,35.23,33.95,18012500,18.01
01/03/2019,35.49,35.59,34.84,34.84,33.59,16152300,16.15
07/03/2019,34.79,35.54,34.66,35.33,34.06,18963500,18.96
08/03/2019,35.11,35.88,34.84,35.75,34.47,13565000,13.57
11/03/2019,35.84,37.02,35.83,36.91,35.60,19995500,20.00
12/03/2019,36.91,37.00,36.59,37.00,35.67,13109300,13.11
13/03/2019,36.82,37.66,36.70,37.40,36.06,22202800,22.20
14/03/2019,37.40,37.40,36.43,36.81,35.49,17809100,17.81
15/03/2019,36.73,37.16,36.48,36.79,35.48,19106000,19.11
18/03/2019,36.86,37.06,36.74,36.86,35.54,11303100,11.30
19/03/2019,37.00,37.00,36.00,36.00,34.71,35023800,35.02
20/03/2019,36.06,36.22,35.18,35.18,33.93,26182500,26.18
21/03/2019,35.31,35.41,34.09,34.57,33.33,31558000,31.56
22/03/2019,34.04,34.11,33.36,33.54,32.35,30631500,30.63
25/03/2019,33.49,34.11,33.29,33.59,32.40,19909900,19.91
26/03/2019,34.00,34.11,33.50,33.95,32.73,16071700,16.07
27/03/2019,33.43,33.63,32.79,32.79,31.62,28321300,28.32
28/03/2019,32.90,34.34,32.65,34.09,32.88,31144800,31.14
29/03/2019,34.52,34.54,33.91,34.43,33.20,19700400,19.70
01/04/2019,34.70,34.79,34.00,34.16,32.95,17229600,17.23
02/04/2019,34.25,34.33,33.52,33.61,32.43,16358100,16.36
03/04/2019,34.04,34.18,33.16,33.32,32.14,19468200,19.47
04/04/2019,33.68,34.09,33.25,33.82,32.62,18053600,18.05
05/04/2019,34.00,34.66,33.79,34.54,33.33,16192100,16.19
08/04/2019,34.59,34.66,34.15,34.34,33.12,9190600,9.19
09/04/2019,34.20,34.22,33.61,34.15,32.94,13385100,13.39
10/04/2019,34.40,34.43,33.81,34.09,32.88,26315900,26.32
11/04/2019,33.82,34.04,33.11,33.29,32.12,12091400,12.09
12/04/2019,33.00,33.82,32.65,32.95,31.78,29457500,29.46
15/04/2019,33.24,33.33,32.63,32.93,31.76,16527700,16.53
16/04/2019,32.72,33.45,32.72,32.90,31.73,16992700,16.99
17/04/2019,33.00,33.20,32.00,32.38,31.24,35979200,35.98
18/04/2019,32.52,33.20,32.11,32.83,31.67,17515300,17.52
22/04/2019,32.77,33.15,32.38,32.74,31.58,10063200,10.06
23/04/2019,33.00,33.45,33.00,33.16,31.99,13401400,13.40
24/04/2019,33.18,33.24,32.68,33.20,32.03,14647000,14.65
25/04/2019,33.02,33.79,32.63,33.72,32.53,19588900,19.59
26/04/2019,33.81,33.91,33.41,33.79,32.60,10071700,10.07
29/04/2019,33.95,34.11,33.38,33.52,32.34,11055200,11.06
30/04/2019,33.68,34.02,33.43,33.83,32.63,13501100,13.50
02/05/2019,33.66,34.22,33.59,34.04,32.85,14629500,14.63
03/05/2019,34.20,34.27,33.63,33.70,32.53,31030200,31.03
06/05/2019,33.34,33.49,32.93,32.97,31.82,14639700,14.64
07/05/2019,32.70,32.72,31.95,32.59,31.46,29106700,29.11
08/05/2019,32.74,33.38,32.74,32.97,31.82,18049500,18.05
09/05/2019,32.57,32.86,32.24,32.56,31.42,21662400,21.66
10/05/2019,32.49,32.79,32.02,32.41,31.28,14490800,14.49
13/05/2019,31.71,32.04,31.66,31.90,30.78,19063500,19.06
14/05/2019,32.07,32.18,31.62,31.75,30.64,13339700,13.34
15/05/2019,31.51,31.85,31.13,31.85,30.74,21154800,21.15
16/05/2019,31.50,31.67,31.16,31.44,30.34,18017400,18.02
17/05/2019,31.37,32.00,31.11,31.50,30.40,23815600,23.82
20/05/2019,31.70,32.38,31.38,32.32,31.19,24166700,24.17
21/05/2019,32.40,33.59,32.36,33.57,32.40,23455000,23.46
22/05/2019,33.70,33.79,32.97,33.59,32.42,13175500,13.18
23/05/2019,33.38,33.72,33.13,33.52,32.36,15793700,15.79
24/05/2019,33.79,33.84,33.00,33.02,31.87,11538100,11.54
27/05/2019,33.33,33.58,33.02,33.15,31.99,10607500,10.61
28/05/2019,33.27,34.08,33.11,34.08,32.89,32564800,32.56
29/05/2019,33.84,34.88,33.84,34.72,33.51,28132700,28.13
30/05/2019,34.81,35.22,34.68,35.08,33.85,15947600,15.95
31/05/2019,34.88,35.40,34.75,35.00,33.78,18216700,18.22
03/06/2019,35.20,35.32,34.73,35.08,33.87,18939200,18.94
04/06/2019,35.20,35.29,34.75,35.02,33.81,16554600,16.55
05/06/2019,35.09,35.16,34.27,34.34,33.15,12193600,12.19
06/06/2019,34.68,34.88,34.38,34.70,33.50,11449900,11.45
07/06/2019,34.77,35.27,34.66,35.07,33.86,13355900,13.36
10/06/2019,34.84,34.86,34.11,34.63,33.43,18283400,18.28
11/06/2019,34.84,34.98,34.24,34.79,33.60,29136500,29.14
12/06/2019,34.79,35.11,34.47,34.59,33.40,17637000,17.64
13/06/2019,34.54,34.58,33.70,33.98,32.81,36877200,36.88
14/06/2019,33.90,34.07,33.48,33.99,32.81,18775100,18.78
17/06/2019,33.90,34.32,33.81,33.95,32.78,15638100,15.64
18/06/2019,34.34,34.83,34.18,34.83,33.63,22791000,22.79
19/06/2019,34.63,35.49,34.47,35.38,34.16,23278900,23.28
21/06/2019,35.58,36.18,35.50,36.18,34.93,27455000,27.46
24/06/2019,36.24,36.50,35.79,36.09,34.85,22715800,22.72
25/06/2019,36.00,36.23,35.48,35.65,34.42,23790600,23.79
26/06/2019,35.84,36.50,35.73,36.50,35.24,32869700,32.87
27/06/2019,36.20,36.43,35.70,36.25,35.00,20630300,20.63
28/06/2019,36.45,36.59,36.13,36.25,35.01,17615100,17.62
01/07/2019,36.77,36.77,35.93,36.08,34.85,15922800,15.92
02/07/2019,36.04,36.32,35.70,35.95,34.72,18830100,18.83
03/07/2019,35.70,36.65,35.63,36.57,35.32,17651400,17.65
04/07/2019,36.77,37.50,36.70,36.99,35.73,23138400,23.14
05/07/2019,36.84,37.45,36.66,37.40,36.12,14345800,14.35
08/07/2019,37.47,37.50,37.06,37.29,36.03,9918400,9.92
10/07/2019,37.52,37.72,36.95,37.20,35.93,22765400,22.77
11/07/2019,36.97,37.15,36.58,37.15,35.88,15289000,15.29
12/07/2019,37.45,37.45,36.45,36.45,35.21,18723300,18.72
15/07/2019,36.68,36.70,36.11,36.36,35.12,16642300,16.64
16/07/2019,36.40,36.65,36.20,36.50,35.25,17844700,17.84
17/07/2019,36.59,36.91,36.38,36.40,35.16,23122700,23.12
18/07/2019,36.47,37.36,36.45,37.36,36.09,16209600,16.21
19/07/2019,37.08,37.27,36.40,36.40,35.16,17145500,17.15
22/07/2019,36.68,37.25,36.61,37.02,35.76,18663100,18.66
23/07/2019,37.25,37.54,36.73,37.38,36.10,21128500,21.13
24/07/2019,37.50,37.75,37.13,37.34,36.07,14689500,14.69
25/07/2019,37.65,37.65,35.98,36.20,34.96,22380700,22.38
26/07/2019,36.48,37.08,36.00,36.84,35.59,23826000,23.83
29/07/2019,36.75,37.27,36.45,37.00,35.74,20228700,20.23
30/07/2019,36.79,36.79,35.66,35.77,34.55,44206600,44.21
31/07/2019,35.74,35.77,34.70,34.82,33.63,35542000,35.54
01/08/2019,35.20,36.11,34.88,34.88,33.70,32801400,32.80
02/08/2019,35.00,35.20,34.58,34.93,33.75,27808000,27.81
05/08/2019,34.20,34.72,34.04,34.45,33.29,21294600,21.29
06/08/2019,34.93,35.49,34.79,35.49,34.29,17746200,17.75
07/08/2019,35.07,36.79,34.95,36.79,35.56,32065800,32.07
08/08/2019,37.00,37.34,36.66,37.00,35.75,30196800,30.20
09/08/2019,36.99,37.00,36.34,36.72,35.48,11884800,11.88
12/08/2019,36.00,36.04,35.18,35.20,34.01,20246800,20.25
13/08/2019,35.18,36.11,35.11,35.88,34.68,13635000,13.64
14/08/2019,35.40,35.57,35.02,35.09,33.92,20769200,20.77
15/08/2019,35.48,35.48,34.81,35.00,33.82,19086500,19.09
16/08/2019,34.79,34.86,34.13,34.34,33.72,14343000,14.34
19/08/2019,34.65,34.86,33.91,34.20,33.57,22628600,22.63
20/08/2019,34.36,34.45,33.54,33.82,33.20,17302100,17.30
21/08/2019,34.18,34.34,33.75,34.08,33.45,19548800,19.55
22/08/2019,34.15,34.33,33.50,33.54,32.92,13552000,13.55
23/08/2019,33.09,33.90,32.93,33.15,32.54,26285900,26.29
26/08/2019,33.41,33.43,32.68,33.13,32.53,17811500,17.81
27/08/2019,33.15,33.93,33.08,33.52,32.91,28587300,28.59
28/08/2019,33.22,34.09,33.16,33.91,33.29,14492900,14.49
29/08/2019,34.04,34.47,33.54,34.09,33.46,16919500,16.92
30/08/2019,34.52,34.56,33.77,33.93,33.32,25311700,25.31
02/09/2019,33.90,34.18,33.50,33.50,32.90,8366100,8.37
03/09/2019,33.50,33.81,32.77,32.86,32.27,19116300,19.12
04/09/2019,33.27,33.31,32.81,33.09,32.50,15409600,15.41
05/09/2019,33.41,34.66,33.38,34.02,33.42,42036200,42.04
06/09/2019,34.25,35.23,34.25,35.16,34.54,21399400,21.40
09/09/2019,35.36,36.29,35.36,36.02,35.38,34847900,34.85
10/09/2019,36.11,36.29,35.09,35.33,34.70,22274700,22.27
11/09/2019,35.50,35.68,34.99,35.16,34.54,16367700,16.37
12/09/2019,35.50,35.59,35.15,35.38,34.75,13645700,13.65
